region,provider,country_iso,lat,lon,abs_lat,ground_truth_ci,country_ci,country_fossil_frac,country_clean_frac,country_coal_frac,country_gas_frac,country_nuclear_frac,country_renew_frac,country_hydro_frac,country_solar_frac,country_wind_frac,n_plants_300km,total_emissions_300km,mean_emissions_per_plant,total_capacity_300km,emissions_per_capacity,local_pct_coal,local_pct_gas,local_pct_solar,local_pct_wind,local_pct_hydro,local_pct_nuclear,local_pct_fossil,local_pct_clean,n_renew_nearby,renew_cap_nearby_mw,local_ef_weighted,local_generation_gwh,local_mean_cf,idw_weighted_ci,n_fossil_ops_300km,fossil_emissions_300km,n_coal_mines,n_refineries,n_oilgas,nearest_dc_km,n_dcs_300km,country_ci_sq,ct_grid_ci_est,emaps_zone_ci,emaps_idw_ci,emaps_zone_clean_cap_frac,emaps_zone_fossil_cap_frac,emaps_zone_coal_cap_mw
europe-west4,gcp,NLD,52.7954802,5.0421531,52.7954802,236,194.8304160052528,0.48890708145722467,0.5110929185427753,0.06917724109701186,0.37740483012689313,0.03274662300450266,0.47834629553827257,0.0004911993450675399,0.1731477691363078,0.2371674171101105,228,84762859.261952,371766.92658750876,58182.979999999996,995.0230464350923,0.1252847380410023,0.2733485193621868,0.0,0.0,0.0,0.0,0.42369020501138954,0.5763097949886105,211,27003.85016,595.5744963384734,142128.269762,0.38165285204991095,689.0541741297252,25,36379859.36082031,3,13,9,0.0,5,37.95889100077987,712.2557513852064,194.8304160052528,188.24236403281316,0.6237600303279206,0.35903835218297847,4012.0
europe-west6,gcp,CHE,47.3769,8.5417,47.3769,59,46.757554765206685,0.024262942587106786,0.9757370574128932,0.0,0.0070531809846240655,0.3412328960361123,0.6345041613767809,0.5438002539145154,0.059105656651149675,0.0023980815347721825,148,39918562.2982,269720.01552837837,34208.16,482.0233742216396,0.03176470588235294,0.09294117647058824,0.0,0.0,0.0,0.0,0.1341176470588235,0.8658823529411765,702,48606.41795,563.435330890752,70749.650293,0.3922501567398119,180.03376428311105,9,9751341.513482872,0,7,2,0.0,11,2.186268927621302,28.313179814438193,46.757554765206685,65.91161132269532,0.9643747773423584,0.008193801211257571,0.0
europe-west8,gcp,ITA,45.4642,9.19,45.4642,249,193.4103096246375,0.5627999085992841,0.437200091400716,0.052936248000609344,0.4506816970066266,0.0,0.437200091400716,0.14448929849950493,0.11809734176251048,0.08953461802117452,98,29722549.512000002,303291.32155102043,28732.49,426.0630875764202,0.01155115511551155,0.10396039603960396,0.0,0.0,0.0,0.0,0.12376237623762376,0.8762376237623762,508,41028.421890000005,466.1589386621669,63706.70349,0.3732376893939395,647.9663709696675,6,3459581.393796007,0,6,0,0.0,8,37.407547869098146,582.1927771902573,193.4103096246375,169.6849844936502,0.5445410088331772,0.3883750349110384,1000.0
europe-west9,gcp,FRA,48.8566,2.3522,48.8566,34,44.250522630363314,0.08422322071152089,0.9157767792884792,0.004201435490459242,0.061134776604228676,0.652875843691039,0.26290093559744027,0.1034603489525588,0.04524323588337127,0.09455174962556653,77,9389333.741452001,121939.39923963638,11637.34,147.83179103263868,0.02295552367288379,0.04878048780487805,0.0,0.0,0.0,0.0,0.08608321377331421,0.9139167862266858,620,51876.29043,433.2988989240722,21832.082123,0.343098814229249,761.1126965988943,4,5006755.708187272,0,3,1,0.0,7,1.9581087530602959,67.95366707859718,44.250522630363314,115.17584464273524,0.8611944552607556,0.11616612543440727,1813.25
europe-west10,gcp,DEU,52.52,13.405,52.52,345,297.13494811464113,0.4585669288218863,0.5414330711781137,0.2681313021256364,0.15055765763981063,0.01733394084668872,0.524099130331425,0.03859030487925672,0.12195170268824661,0.2719744844390737,144,92393085.37686001,641618.6484504167,35037.09,1936.2088705666554,0.08044382801664356,0.07628294036061026,0.0,0.0,0.0,0.0,0.16366158113730928,0.8363384188626908,577,12681.46288,857.3559974686201,107743.61521799999,0.4517885375494071,760.3332467085087,22,12111992.546236206,13,6,3,0.0,2,88.28917739109048,1209.244643480524,297.13494811464113,167.74538281871395,0.6608799396167612,0.2514774067207658,31193.0
europe-west12,gcp,ITA,45.0703,7.6869,45.0703,249,193.4103096246375,0.5627999085992841,0.437200091400716,0.052936248000609344,0.4506816970066266,0.0,0.437200091400716,0.14448929849950493,0.11809734176251048,0.08953461802117452,95,25093133.770000003,264138.25021052634,25979.329999999998,319.9842841563409,0.006657789613848202,0.08388814913448735,0.0,0.0,0.0,0.0,0.09587217043941411,0.9041278295605859,656,52440.56439,450.00476517568995,55710.6568,0.35820723362658846,706.4998049415562,9,7813181.918692482,0,9,0,0.0,9,37.407547869098146,543.6019093727826,46.757554765206685,160.0724976233025,0.9643747773423584,0.008193801211257571,0.0
me-central2,gcp,SAU,26.4207,50.1033,26.4207,569,706.791,0.9979083144500611,0.0020916855499389926,0.0,0.670758734032222,0.0,0.0020916855499389926,0.0,0.002066784531487338,2.4901018451654675e-05,65,165754990.0,2550076.769230769,64625.67,2524.398971264143,0.0,0.8985507246376812,0.0,0.0,0.0,0.0,0.927536231884058,0.07246376811594202,4,1035.5,637.1420068909832,260153.302,0.5221398601398601,741.4212740892224,22,369323102.29387516,0,7,15,0.0,4,499.5535176810001,2559.4826743395734,475.0,472.5907297165421,0.006928406466512702,0.9930715935334873,0.0
me-west1,gcp,ISR,32.0853,34.7818,32.0853,463,573.3103341726666,0.9005401132920564,0.09945988670794362,0.22052430509814253,0.6758002898168884,0.0,0.09945988670794362,0.0002634698985640891,0.09682518772230272,0.0023712290870768014,59,51519548.0,873212.6779661017,31499.85,1576.5989292375677,0.016260162601626018,0.36585365853658536,0.0,0.0,0.0,0.0,0.47154471544715443,0.5284552845528456,64,1177.8000000000002,527.1981055583076,97723.192,0.37806115702479337,798.5123433790924,8,11491921.394965015,1,3,4,0.0,3,328.6847392691746,1472.8774769618121,573.3103341726666,581.4596047272117,0.25214776632302405,0.7401202749140894,4320.0
northamerica-northeast1,gcp,CAN,45.5019,-73.5674,45.5019,2,37.78113468239041,0.19861395495353598,0.8013860450464639,0.050921404945660734,0.14358166640415815,0.14003780122853993,0.6613482438179241,0.5755079540085053,0.011781382894944088,0.06000945030713498,48,11420862.4624,237934.63463333333,6198.3,540.3256120736149,0.0,0.033797216699801194,0.0,0.0,0.0,0.0,0.049701789264413515,0.9502982107355865,455,14938.700000000003,573.0913410933535,19938.98924,0.39764079822616405,132.67201407599134,2,4045637.357154876,0,2,0,0.0,4,1.4274141378889236,365.9620642172279,228.21954138989668,215.01794642790773,0.3324724910513059,0.6143417738300412,459.2
northamerica-northeast2,gcp,CAN,43.6532,-79.3832,43.6532,47,104.20353497775825,0.19861395495353598,0.8013860450464639,0.050921404945660734,0.14358166640415815,0.14003780122853993,0.6613482438179241,0.5755079540085053,0.011781382894944088,0.06000945030713498,72,32332313.301,449059.90695833333,19305.850000000002,636.4259024525151,0.037914691943127965,0.0947867298578199,0.0,0.0,0.0,0.0,0.14691943127962084,0.8530805687203792,350,31497.1,591.230626729656,54692.541509999995,0.3317873900293255,607.656246578621,23,11365855.764360713,14,7,2,0.0,3,10.858376701860887,332.6270854434498,229.74124947732903,249.24715745002334,0.3241853608396148,0.6597044397158004,0.0
